gene,log2_fold_change,adjusted_p_value
GENE0097,-0.9591,0.0731178
GENE0098,-1.0371,0.04394073
GENE0099,0.4496,0.20904199
GENE0100,1.7711,0.00618202
GENE0101,-0.967,0.03102933
GENE0102,-1.9107,0.00884534
GENE0103,-0.3314,0.19643186
GENE0104,0.3946,0.20226044
GENE0105,-0.1835,0.15138556
GENE0106,1.4049,0.02816203
GENE0107,-0.6205,0.0809352
GENE0108,-0.8914,0.1003926
GENE0109,0.6357,0.17254345
GENE0110,0.9878,0.05452917
GENE0111,-0.1226,0.33095816
GENE0112,-1.9564,0.03102933
GENE0113,-0.4901,0.22532851
GENE0114,1.2132,0.07003258
GENE0115,0.2005,0.30376371
GENE0116,-0.8648,0.09808354
GENE0117,-3.7974,0.00336024
GENE0118,1.2266,0.03194505
GENE0119,-0.4312,0.09807926
GENE0120,-2.0311,0.02816203
GENE0121,1.7898,0.03080462
GENE0122,-1.4943,0.03102933
GENE0123,-0.2743,0.15761689
GENE0124,-0.5616,0.08607433
GENE0125,0.7701,0.10864882
GENE0126,0.4133,0.25931731
GENE0127,-2.4384,0.01263269
GENE0128,0.1054,0.22271557
GENE0129,0.9024,0.09000316
GENE0130,-0.205,0.23795334
GENE0131,-0.2023,0.09049011
GENE0132,2.3459,0.00316789
GENE0133,1.0485,0.07003258
GENE0134,-1.3973,0.05582112
GENE0135,1.2167,0.0723034
GENE0136,-0.6672,0.09691047
GENE0137,-0.5148,0.12288572
GENE0138,-2.1439,0.01977431
GENE0139,-0.9955,0.08334694
GENE0140,-0.3203,0.04394073
GENE0141,-0.3893,0.2262397
GENE0142,1.2357,0.05273824
GENE0143,0.5721,0.04902659
GENE0144,0.9339,0.02689315
GENE0145,0.4251,0.01416732
GENE0146,2.1092,0.02075664
GENE0147,-0.7408,0.05953697
GENE0148,1.0492,0.06149155
GENE0149,0.0886,0.38952707
GENE0150,1.6242,0.02816203
GENE0151,0.038,0.1978795
GENE0152,-0.367,0.30586084
GENE0153,-0.5623,0.17254345
GENE0154,0.0383,0.42964063
GENE0155,-0.7586,0.09020153
GENE0156,0.1797,0.31814822
GENE0157,-0.3986,0.15401123
GENE0158,-0.9071,0.10552948
GENE0159,-2.1042,0.02540311
GENE0160,-0.2818,0.15761689
GENE0161,-0.1,0.23729409
GENE0162,3.91,0.00316789
GENE0163,0.1018,0.50220926
GENE0164,0.6073,0.08364374
GENE0165,1.8028,0.02816203
GENE0166,0.2114,0.3141671
GENE0167,-0.7317,0.15403966
GENE0168,-1.502,0.03814949
GENE0169,-0.6272,0.17254345
GENE0170,1.6145,0.03650948
GENE0171,1.5036,0.03146064
GENE0172,0.3233,0.09337432
GENE0173,-0.3469,0.11245245
GENE0174,0.4507,0.27323305
GENE0175,-0.3641,0.21957058
GENE0176,-0.1183,0.43921649
GENE0177,-0.8951,0.05356067
GENE0178,0.9447,0.05088683
GENE0179,-0.7543,0.06284375
GENE0180,-1.8733,0.00636204
GENE0181,-1.6089,0.01244882
GENE0182,1.0065,0.03102933
GENE0183,-0.5007,0.2045026
GENE0184,1.3344,0.04939801
GENE0185,-1.927,0.01977431
GENE0186,1.1805,0.03589449
GENE0187,-2.078,0.01977431
GENE0188,0.6259,0.13445684
GENE0189,1.2943,0.03080462
GENE0190,-0.8599,0.05173551
GENE0191,-1.6991,0.02995748
GENE0192,-1.719,0.01977431
GENE0193,0.9846,0.07179701
GENE0194,-0.6466,0.09337432
GENE0195,0.1399,0.08782509
GENE0196,-0.7582,0.05851272
GENE0197,0.4472,0.23678707
GENE0198,-0.9065,0.06579731
GENE0199,-0.3882,0.29976924
GENE0200,-1.0195,0.05783604
GENE0201,-0.3709,0.30848712
GENE0202,0.1767,0.38556139
GENE0203,-0.7521,0.14661495
GENE0204,0.6439,0.09741687
GENE0205,1.1186,0.07860617
GENE0206,0.989,0.08013118
GENE0207,-0.3852,0.07992689
GENE0208,1.5606,0.03753263
GENE0209,0.1487,0.23159033
GENE0210,-0.5482,0.05356067
GENE0211,-0.5253,0.1370597
GENE0212,-0.5202,0.2316997
GENE0213,-0.0991,0.43595197
GENE0214,-1.8083,0.02689315
GENE0215,4.001,0.00172074
GENE0216,-0.7224,0.07742417
GENE0217,-0.6697,0.05111804
GENE0218,-0.0173,0.45228949
GENE0219,0.8462,0.06284375
GENE0220,1.2213,0.06353468
GENE0221,0.2718,0.35890212
GENE0222,1.1696,0.05562131
GENE0223,-0.0917,0.36614478
GENE0224,-0.4131,0.27538541
GENE0225,0.5496,0.09473627
GENE0226,-0.1086,0.0575631
GENE0227,-0.7048,0.08353189
GENE0228,-0.8416,0.07671135
GENE0229,0.7011,0.05173551
GENE0230,1.7175,0.03328936
GENE0231,2.5389,0.00582401
GENE0232,-0.6279,0.04939801
GENE0233,0.4067,0.07992689
GENE0234,0.6939,0.15401123
GENE0235,-2.3518,0.00790195
GENE0236,-0.9389,0.09485788
GENE0237,-0.4996,0.13889148
GENE0238,-0.1182,0.38643422
GENE0239,0.2403,0.31771686
GENE0240,-0.7529,0.09308681
GENE0241,-0.7046,0.13488847
GENE0242,-0.995,0.09000316
GENE0243,-3.1516,0.00716103
GENE0244,-0.1445,0.41452954
GENE0245,0.0493,0.14860402
GENE0246,1.8251,0.03375596
GENE0247,-0.3717,0.26999084
GENE0248,0.917,0.07992689
GENE0249,-2.6654,0.00785607
GENE0250,-0.2827,0.29823824
GENE0251,1.0076,0.09337432
GENE0252,0.4801,0.04767128
GENE0253,-1.0454,0.09337432
GENE0254,-1.2057,0.0575631
GENE0255,0.115,0.52686545
GENE0256,-0.2074,0.28995436
GENE0257,1.5735,0.03875694
GENE0258,1.217,0.05273824
GENE0259,0.6976,0.09000316
GENE0260,0.723,0.06504617
GENE0261,-2.4364,0.00790195
GENE0262,1.1737,0.07171584
GENE0263,1.3712,0.05970829
GENE0264,3.0768,0.00785607
GENE0265,1.236,0.06557351
GENE0266,-0.0777,0.27673783
GENE0267,0.0883,0.30126723
GENE0268,-1.2902,0.02785881
GENE0269,0.0863,0.37636453
GENE0270,0.244,0.35159431
GENE0271,1.3735,0.05953697
GENE0272,-1.6092,0.04452556
GENE0273,0.3442,0.17518504
GENE0274,0.396,0.14661495
GENE0275,1.7027,0.02720936
GENE0276,-0.5102,0.23553138
GENE0277,0.4216,0.18022945
GENE0278,-0.1878,0.14661495
GENE0279,1.1897,0.06353468
GENE0280,2.0648,0.0262291
GENE0281,-0.5291,0.19170663
GENE0282,1.5483,0.03413501
GENE0283,-0.4877,0.21139646
GENE0284,0.309,0.3422511
GENE0285,-1.3327,0.00716103
GENE0286,-1.3698,0.04987085
GENE0287,1.4553,0.03814949
GENE0288,0.6954,0.06579731
GENE0289,-0.0095,0.21196365
GENE0290,0.2761,0.19170663
GENE0291,1.6613,0.01094357
GENE0292,-0.5991,0.14909443
GENE0293,-2.315,0.00940299
GENE0294,-0.5456,0.14661495
GENE0295,1.5006,0.02248546
GENE0296,1.0706,0.0723034
GENE0297,0.8154,0.04317504
GENE0298,0.661,0.12482651
GENE0299,-0.4422,0.14959648
GENE0300,0.9371,0.0723034
GENE0301,-1.6582,0.00912779
GENE0302,-2.428,0.01842036
GENE0303,-0.1807,0.35704794
GENE0304,1.3606,0.03413501
GENE0305,-1.2208,0.04394073
GENE0306,-0.5283,0.00716103
GENE0307,-0.1917,0.07992689
GENE0308,0.966,0.065027
GENE0309,0.1764,0.16382975
GENE0310,0.9676,0.03814949
GENE0311,0.1942,0.14860402
GENE0312,-3.1715,0.00636204
GENE0313,-2.3774,0.00916481
GENE0314,0.3139,0.35724435
GENE0315,1.696,0.01406309
GENE0316,-0.6538,0.15941378
GENE0317,0.1565,0.32668736
GENE0318,0.5858,0.04486242
GENE0319,0.4299,0.16133452
GENE0320,-0.8914,0.08897139
GENE0321,-3.2078,0.00636204
GENE0322,-0.7988,0.05173551
GENE0323,-0.5012,0.17630181
GENE0324,0.9581,0.03102933
GENE0325,-0.695,0.10387525
GENE0326,0.6576,0.07216909
GENE0327,-2.1394,0.00916481
GENE0328,0.7914,0.13166378
GENE0329,0.9044,0.08567638
GENE0330,-0.4678,0.08607433
GENE0331,-0.9134,0.08005247
GENE0332,1.6942,0.0335037
GENE0333,-1.4648,0.03845318
GENE0334,-1.3563,0.02995748
GENE0335,1.8805,0.0260995
GENE0336,-1.7477,0.03375596
GENE0337,-1.3729,0.03814949
GENE0338,1.7163,0.03328936
GENE0339,-0.1872,0.0533838
GENE0340,-0.1344,0.47556127
GENE0341,-0.894,0.09000316
GENE0342,-0.2989,0.14689709
GENE0343,0.0228,0.38501777
GENE0344,0.246,0.30072291
GENE0345,-0.0044,0.57581007
GENE0346,1.4238,0.02919074
GENE0347,-1.2427,0.03514745
GENE0348,-0.8923,0.05783604
GENE0349,0.1933,0.14373347
GENE0350,-1.1324,0.05816279
GENE0351,1.1245,0.03328936
GENE0352,1.0406,0.07992689
GENE0353,0.119,0.44033622
GENE0354,-0.3791,0.26417226
GENE0355,0.5287,0.07346551
GENE0356,-0.1555,0.28702556
GENE0357,1.67,0.03375596
GENE0358,-0.6467,0.09755333
GENE0359,0.9702,0.02816203
GENE0360,1.0794,0.08607433
GENE0361,-1.051,0.0611535
GENE0362,0.2424,0.08213322
GENE0363,-0.5584,0.12304296
GENE0364,0.3767,0.12568021
GENE0365,0.2344,0.28373971
GENE0366,-0.0516,0.56239407
GENE0367,1.2872,0.01416732
GENE0368,1.7175,0.03077338
GENE0369,-0.6806,0.08897139
GENE0370,-0.3967,0.05164433
GENE0371,1.2129,0.01998307
GENE0372,-1.0945,0.08760975
GENE0373,-0.4732,0.2473407
GENE0374,-1.7663,0.02740164
GENE0375,-1.2887,0.0533838
GENE0376,-0.9169,0.10159557
GENE0377,0.0229,0.52686545
GENE0378,1.2455,0.03196857
GENE0379,1.2847,0.02720936
GENE0380,-0.8576,0.04563201
GENE0381,0.6302,0.13753788
GENE0382,1.3002,0.05562131
GENE0383,1.3158,0.03472166
GENE0384,-0.2194,0.31886008
GENE0385,1.2049,0.03814949
GENE0386,0.3963,0.30072291
GENE0387,-0.907,0.08213322
GENE0388,0.1811,0.39746144
GENE0389,0.6643,0.12304296
GENE0390,3.132,0.00582401
GENE0391,1.4211,0.03328936
GENE0392,0.8967,0.05953697
GENE0393,0.0421,0.18375736
GENE0394,-0.434,0.18718488
GENE0395,2.1613,0.01416732
GENE0396,-0.3188,0.25886989
GENE0397,-2.2355,0.01263269
GENE0398,-1.3005,0.04978515
GENE0399,0.2741,0.20237358
GENE0400,0.4057,0.24085681
GENE0401,-1.4614,0.05173551
GENE0402,-0.9055,0.03328936
GENE0403,1.4537,0.02995748
GENE0404,-1.5942,0.01349428
GENE0405,0.6481,0.10239397
GENE0406,0.7986,0.06006437
GENE0407,-2.1209,0.02634574
GENE0408,-0.3333,0.04727782
GENE0409,-0.0659,0.53999628
GENE0410,-0.1849,0.29976924
GENE0411,0.2514,0.20605397
GENE0412,-0.6185,0.05310746
GENE0413,0.113,0.3190241
GENE0414,-1.2173,0.0723034
GENE0415,-0.2048,0.40812817
GENE0416,-0.5137,0.05356067
GENE0417,0.9404,0.03589449
GENE0418,-0.4214,0.26514973
GENE0419,-1.1106,0.04744074
GENE0420,0.5302,0.23159033
GENE0421,0.7468,0.0384419
GENE0422,-0.2577,0.3190241
GENE0423,-0.5395,0.14534632
GENE0424,1.4082,0.01842036
GENE0425,-0.1761,0.23795334
GENE0426,1.0474,0.04394073
GENE0427,0.2674,0.15138556
GENE0428,-0.2674,0.12303937
GENE0429,0.5928,0.07679008
GENE0430,-0.1177,0.47337161
GENE0431,0.7584,0.03330965
GENE0432,-1.6972,0.02816203
GENE0433,-1.0229,0.08607433
GENE0434,-0.872,0.05132241
GENE0435,0.6839,0.17630181
GENE0436,-0.599,0.08948521
GENE0437,1.426,0.01356628
GENE0438,-2.3881,0.01356628
GENE0439,-0.616,0.04901204
GENE0440,-1.2957,0.04868968
GENE0441,0.5917,0.05088683
GENE0442,-0.1668,0.06086185
GENE0443,-0.2687,0.36059261
GENE0444,0.8927,0.09567432
GENE0445,0.1465,0.44947927
GENE0446,1.0823,0.08727311
GENE0447,-0.214,0.36083901
GENE0448,0.3556,0.08544659
GENE0449,-1.3995,0.05356067
GENE0450,0.912,0.04259223
GENE0451,1.1797,0.00621376
GENE0452,0.5244,0.18870118
GENE0453,0.6436,0.1003926
GENE0454,0.2518,0.30758628
GENE0455,1.1913,0.04099657
GENE0456,-0.593,0.1370597
GENE0457,0.3111,0.17630181
GENE0458,-1.1899,0.06353468
GENE0459,-1.495,0.04851037
GENE0460,0.4055,0.19853545
GENE0461,1.544,0.03155206
GENE0462,-1.4821,0.02919074
GENE0463,-2.3619,0.00716103
GENE0464,0.2437,0.26478374
GENE0465,-1.0305,0.04394073
GENE0466,-1.5253,0.0141759
GENE0467,-1.0081,0.01337494
GENE0468,4.3399,0.00172074
GENE0469,1.0396,0.09337432
GENE0470,-0.4752,0.12482651
GENE0471,-0.0508,0.19013205
GENE0472,-0.1452,0.30072291
GENE0473,1.3612,0.03814949
GENE0474,1.0984,0.05356067
GENE0475,0.2015,0.03814949
GENE0476,0.8577,0.09755333
GENE0477,-0.715,0.08948521
GENE0478,0.6879,0.1183372
GENE0479,-1.2892,0.04811487
GENE0480,0.2021,0.36059261
GENE0481,-1.6172,0.04409176
GENE0482,-1.4569,0.00716103
GENE0483,-0.0589,0.14518071
GENE0484,-0.238,0.28373971
GENE0485,-0.7864,0.03102933
GENE0486,1.1946,0.06148684
GENE0487,-0.2977,0.25273624
GENE0488,-0.8821,0.07777915
GENE0489,-2.5677,0.00790195
GENE0490,-1.1194,0.07524469
GENE0491,-0.638,0.16782133
GENE0492,3.5826,0.00172074
GENE0493,-0.568,0.06556497
GENE0494,1.5141,0.05088683
GENE0495,1.4522,0.03328936
GENE0496,0.3287,0.16815367
GENE0497,2.7843,0.00716103
GENE0498,-0.7032,0.05452917
GENE0499,-2.7313,0.00172074
GENE0500,-0.9813,0.07679008
GENE0501,0.68,0.06079099
GENE0502,1.8362,0.01977431
GENE0503,0.3436,0.21786733
GENE0504,-0.3069,0.0619224
GENE0505,1.1595,0.01977431
GENE0506,0.509,0.13889148
GENE0507,-2.2129,0.00790195
GENE0508,0.6542,0.12802502
GENE0509,0.3953,0.13229601
GENE0510,-0.7753,0.0981507
GENE0511,-0.5386,0.18771329
GENE0512,0.2823,0.26999084
GENE0513,-1.1989,0.06899428
GENE0514,1.2366,0.04394073
GENE0515,0.6949,0.12183511
GENE0516,1.2071,0.05173551
GENE0517,0.6864,0.1615738
GENE0518,-0.8337,0.10970001
GENE0519,-0.0664,0.53849031
GENE0520,3.5713,0.00600788
GENE0521,-0.5821,0.09288327
GENE0522,-1.8625,0.01977431
GENE0523,-1.7647,0.03573038
GENE0524,-1.2282,0.04099657
GENE0525,0.3104,0.26305886
GENE0526,1.6643,0.03102933
GENE0527,-0.2315,0.22271557
GENE0528,-0.2666,0.07992689
GENE0529,0.7091,0.1503134
GENE0530,-0.2379,0.38952707
GENE0531,-0.714,0.08686406
GENE0532,0.6342,0.07076928
GENE0533,0.4488,0.25278678
GENE0534,2.2849,0.00980167
GENE0535,0.4667,0.21698478
GENE0536,2.0133,0.01295943
GENE0537,-2.1014,0.0246062
GENE0538,3.0885,0.00785607
GENE0539,-0.0241,0.13745224
GENE0540,0.6418,0.15113635
GENE0541,0.3383,0.17524813
GENE0542,-1.737,0.03681899
GENE0543,0.5957,0.1615738
GENE0544,0.1889,0.16815367
GENE0545,0.0225,0.46086662
GENE0546,-0.5212,0.05851272
GENE0547,0.4232,0.23991341
GENE0548,-0.0992,0.43885324
GENE0549,-0.4915,0.12103668
GENE0550,-1.2464,0.05273824
GENE0551,0.0967,0.46408167
GENE0552,-0.2488,0.13166378
GENE0553,-0.3778,0.26700841
GENE0554,0.959,0.08760975
GENE0555,1.3143,0.06042071
GENE0556,-0.6277,0.03413501
GENE0557,-0.2266,0.39789163
GENE0558,-2.1103,0.00316789
GENE0559,-0.1515,0.30586084
GENE0560,0.6462,0.13229601
GENE0561,-0.1751,0.44176532
GENE0562,-1.4667,0.04480245
GENE0563,-2.2109,0.00880668
GENE0564,1.1551,0.01977431
GENE0565,0.5403,0.13866345
GENE0566,1.2989,0.02075664
GENE0567,1.2047,0.03330965
GENE0568,0.4744,0.05953697
GENE0569,0.2436,0.08595358
GENE0570,-0.9559,0.0462476
GENE0571,1.2731,0.03102933
GENE0572,-2.0348,0.02680731
GENE0573,-0.119,0.43595197
GENE0574,-1.1421,0.05970829
GENE0575,-0.5682,0.03524267
GENE0576,-0.0118,0.23904117
GENE0577,2.3602,0.01356628
GENE0578,-0.6248,0.03814949
GENE0579,0.05,0.54639361
GENE0580,-1.3269,0.05088683
GENE0581,-0.8395,0.11932027
GENE0582,-0.341,0.09337432
GENE0583,1.1274,0.0619224
GENE0584,-0.6351,0.03413501
GENE0585,1.5187,0.00582401
GENE0586,-0.6459,0.174631
GENE0587,1.2396,0.03948575
GENE0588,1.9741,0.02704359
GENE0589,1.7463,0.03729955
GENE0590,-0.1771,0.16233879
GENE0591,-0.562,0.04509931
GENE0592,-0.7913,0.11187464
GENE0593,0.0961,0.52686545
GENE0594,-1.4922,0.03413501
GENE0595,-0.1526,0.14157184
GENE0596,-0.0462,0.57761889
GENE0597,-1.018,0.07124302
GENE0598,-1.1112,0.03514745
GENE0599,-1.2975,0.00636204
GENE0600,2.3831,0.00980167
GENE0601,-1.3597,0.05173551
GENE0602,-0.0245,0.59231153
GENE0603,-0.1116,0.38709785
GENE0604,0.8008,0.09502419
GENE0605,0.2563,0.18881931
GENE0606,0.1339,0.48038198
GENE0607,-2.0183,0.01642831
GENE0608,-1.0761,0.0611535
GENE0609,0.7975,0.1370597
GENE0610,-0.5618,0.02689315
GENE0611,2.0433,0.00880668
GENE0612,-1.1092,0.08364374
GENE0613,1.3386,0.05851272
GENE0614,-0.6607,0.16770813
GENE0615,0.4079,0.05582112
GENE0616,1.1529,0.04486242
GENE0617,-0.9644,0.03729955
GENE0618,0.0535,0.43885324
GENE0619,-0.8163,0.09222918
GENE0620,-0.7065,0.13866345
GENE0621,0.7915,0.05310746
GENE0622,-0.0268,0.59293493
GENE0623,0.1682,0.42178345
GENE0624,0.7185,0.12304296
GENE0625,-0.7027,0.07679008
GENE0626,-0.8899,0.05832935
GENE0627,1.2031,0.01977431
GENE0628,-1.1899,0.00716103
GENE0629,0.7534,0.07014778
GENE0630,0.1238,0.46528747
GENE0631,0.9664,0.07113326
GENE0632,-2.6594,0.00716103
GENE0633,1.2339,0.03721211
GENE0634,-0.9968,0.05953697
GENE0635,-1.4242,0.03155206
GENE0636,-0.5827,0.06183057
GENE0637,-1.5921,0.03330965
GENE0638,0.0733,0.13889148
GENE0639,1.5301,0.02137186
GENE0640,-0.6421,0.07497182
GENE0641,1.7806,0.03573038
GENE0642,-0.17,0.44184239
GENE0643,-0.6272,0.18144913
GENE0644,-3.5233,0.00172074
GENE0645,-0.0548,0.35086037
GENE0646,0.648,0.11644187
GENE0647,2.604,0.00880668
GENE0648,-0.349,0.12842125
GENE0649,1.2512,0.05080578
GENE0650,0.5492,0.03468527
