gene,condition,sample,expression
CXCL8,Control,C14,9.2213
CXCL8,Control,C15,7.651
CXCL8,Control,C16,8.6411
CXCL8,Control,C17,7.3383
CXCL8,Control,C18,7.4333
CXCL8,Control,C19,8.1012
CXCL8,Control,C20,8.49
CXCL8,Control,C21,8.442
CXCL8,Control,C22,8.452
CXCL8,Control,C23,8.1408
CXCL8,Control,C24,8.7147
CXCL8,Treatment,T01,9.2099
CXCL8,Treatment,T02,8.5309
CXCL8,Treatment,T03,8.888
CXCL8,Treatment,T04,8.7779
CXCL8,Treatment,T05,8.9864
CXCL8,Treatment,T06,9.8268
CXCL8,Treatment,T07,9.3584
CXCL8,Treatment,T08,9.4654
CXCL8,Treatment,T09,8.7418
CXCL8,Treatment,T10,9.125
CXCL8,Treatment,T11,8.478
CXCL8,Treatment,T12,9.0445
CXCL8,Treatment,T13,9.2615
CXCL8,Treatment,T14,7.9453
CXCL8,Treatment,T15,9.4801
CXCL8,Treatment,T16,7.8035
CXCL8,Treatment,T17,9.3522
CXCL8,Treatment,T18,8.2705
CXCL8,Treatment,T19,9.4011
CXCL8,Treatment,T20,9.0088
CXCL8,Treatment,T21,9.7072
CXCL8,Treatment,T22,8.4855
CXCL8,Treatment,T23,9.2295
CXCL8,Treatment,T24,9.1548
STAT3,Control,C01,6.2012
STAT3,Control,C02,5.5187
STAT3,Control,C03,6.1562
STAT3,Control,C04,6.8857
STAT3,Control,C05,6.0488
STAT3,Control,C06,6.6928
STAT3,Control,C07,6.2101
STAT3,Control,C08,6.4265
STAT3,Control,C09,6.5109
STAT3,Control,C10,7.1969
STAT3,Control,C11,7.0992
STAT3,Control,C12,6.1279
STAT3,Control,C13,6.0105
STAT3,Control,C14,5.9206
STAT3,Control,C15,7.1888
STAT3,Control,C16,6.6477
STAT3,Control,C17,5.9774
STAT3,Control,C18,5.6748
STAT3,Control,C19,7.3993
STAT3,Control,C20,5.8185
STAT3,Control,C21,6.8816
STAT3,Control,C22,7.3226
STAT3,Control,C23,5.6157
STAT3,Control,C24,5.8593
STAT3,Treatment,T01,6.9675
STAT3,Treatment,T02,6.5872
STAT3,Treatment,T03,6.4356
STAT3,Treatment,T04,6.6359
STAT3,Treatment,T05,7.0736
STAT3,Treatment,T06,6.74
STAT3,Treatment,T07,6.0807
STAT3,Treatment,T08,6.0636
STAT3,Treatment,T09,6.8707
STAT3,Treatment,T10,6.6533
STAT3,Treatment,T11,7.4686
STAT3,Treatment,T12,7.143
STAT3,Treatment,T13,6.9858
STAT3,Treatment,T14,7.2553
STAT3,Treatment,T15,7.8036
STAT3,Treatment,T16,6.4883
STAT3,Treatment,T17,6.9374
STAT3,Treatment,T18,6.6606
STAT3,Treatment,T19,5.9173
STAT3,Treatment,T20,6.5563
STAT3,Treatment,T21,6.5064
STAT3,Treatment,T22,5.8046
STAT3,Treatment,T23,6.439
STAT3,Treatment,T24,7.1586
TNF,Control,C01,7.6884
TNF,Control,C02,7.4073
TNF,Control,C03,7.2517
TNF,Control,C04,7.4293
TNF,Control,C05,7.7743
TNF,Control,C06,8.4974
TNF,Control,C07,7.3339
TNF,Control,C08,7.4959
TNF,Control,C09,7.6848
TNF,Control,C10,6.9563
TNF,Control,C11,8.5833
TNF,Control,C12,7.4815
TNF,Control,C13,7.8271
TNF,Control,C14,8.24
TNF,Control,C15,7.1832
TNF,Control,C16,6.9753
TNF,Control,C17,7.9599
TNF,Control,C18,8.2555
TNF,Control,C19,7.7407
TNF,Control,C20,8.3596
TNF,Control,C21,7.2467
TNF,Control,C22,7.462
TNF,Control,C23,6.6324
TNF,Control,C24,6.7431
TNF,Treatment,T01,7.1055
TNF,Treatment,T02,7.7125
TNF,Treatment,T03,7.2693
TNF,Treatment,T04,7.0327
TNF,Treatment,T05,6.5541
TNF,Treatment,T06,7.6832
TNF,Treatment,T07,6.7274
TNF,Treatment,T08,6.3796
TNF,Treatment,T09,7.9255
TNF,Treatment,T10,7.7119
TNF,Treatment,T11,7.6964
TNF,Treatment,T12,7.2178
TNF,Treatment,T13,7.2243
TNF,Treatment,T14,6.9026
TNF,Treatment,T15,8.0488
TNF,Treatment,T16,6.975
TNF,Treatment,T17,6.9964
TNF,Treatment,T18,7.701
TNF,Treatment,T19,6.4104
TNF,Treatment,T20,7.5199
TNF,Treatment,T21,7.0308
TNF,Treatment,T22,7.8509
TNF,Treatment,T23,6.966
TNF,Treatment,T24,7.6145
